index,objectid,site_id,name,active_flag,address_street,address_city,address_state,address_zip,city,county,cong_district,senate_district,house_district,huc8,watershed_name,site_url,activity,activity_list,mpca_id,mpca_id_list,program_code_list,program_name,program_name_list,industrial_classification,ic_flag,latitude,longitude,coord_collect_method_code,coord_collect_method_name,shape,geometry
82989,82970,236764,Satori Lofts,Y,"909, 911, 913 West Broadway Avenue ",Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/236764,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup","Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup",BF0001669,BF0001669,SR,Investigation and Cleanup,Investigation and Cleanup,,N,44.998,-93.292,DM,Digitized - MPCA internal map,0101000020E6100000A69BC420B05257C039B4C876BE7F4640,POINT (476985.22012651217 4982769.5135697145)
131154,131125,121925,Geneva Services Co,Y,1834 Emerson Ave N ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/121925,Hazardous Waste,Hazardous Waste,MNS000127597,MNS000127597,HW,Hazardous Waste,Hazardous Waste,,N,44.9980049,-93.2940337,A1,Address Matching House Number,0101000020E6100000005BB972D15257C0B65FE39FBE7F4640,POINT (476824.9300337536 4982770.637761067)
128889,128863,234169,Satori Apartments,Y,827 West Broadway Avenue ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/234169,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup","Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup",BF0001488,BF0001488,SR,Investigation and Cleanup,Investigation and Cleanup,,N,44.998555,-93.290585,DP,Digitized - MPCA online map,0101000020E610000052EDD3F1985257C0EF2076A6D07F4640,POINT (477096.9690195196 4982830.765888497)
89817,89791,195879,Emerged Technology,Y,1834 Emerson Ave N ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/195879,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",LS0019351,LS0019351,SR,Investigation and Cleanup,Investigation and Cleanup,,N,44.998638,-93.2936281,DM,Digitized - MPCA internal map,0101000020E6100000F2AB83CDCA5257C07C45B75ED37F4640,POINT (476857.15388823306 4982840.851106538)
47876,47840,187842,Former Kodak Processing Facility,Y,1201 W Broadway Ave ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/187842,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",LS0015596,LS0015596,SR,Investigation and Cleanup,Investigation and Cleanup,,N,44.99887153,-93.29635417,I2,Digitized-DOQ,0101000020E6100000BA0B7B77F75257C0B420B505DB7F4640,POINT (476642.3880543411 4982867.57582059)
97194,97162,31888,Amoco Station 5192,N,1127 W Broadway Ave ,Minneapolis,MN,55411-2505,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/31888,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup; Hazardous Waste; Petroleum Remediation, Leak Site",Multiple IDs,BF0000726; LS0006547; MNR000010330,HW; SR,Multiple Programs,Hazardous Waste; Investigation and Cleanup,,N,44.99891261,-93.29534152,DM,Digitized - MPCA internal map,0101000020E610000042631EE0E65257C089C14F5EDC7F4640,POINT (476722.2185082108 4982871.847759915)
122153,122132,28751,Varnado Printing,Y,1017 W Broadway Ave ,Minneapolis,MN,55411-2503,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/28751,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",MN0000030999,MN0000030999,HW,Hazardous Waste,Hazardous Waste,Commercial Printing (except Screen and Books) ,N,44.9989643,-93.2932638,DM,Digitized - MPCA internal map,0101000020E6100000728687D5C45257C08E2FEB0FDE7F4640,POINT (476885.99836805696 4982876.9948427295)
59406,59357,31596,Damascus Way,N,905 W Broadway Ave ,Minneapolis,MN,55411-2615,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/31596,Hazardous Waste,Hazardous Waste,MND980824288,MND980824288,HW,Hazardous Waste,Hazardous Waste,,N,44.9989842,-93.2913033,DM,Digitized - MPCA internal map,0101000020E6100000E1AD98B6A45257C0411CDAB6DE7F4640,POINT (477040.5263382129 4982878.647882368)
64710,64666,235796,New Rules,Y,"927 West Broadway 1828, 1832 and 1838 Dupont Avenue South",Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/235796,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",BF0001591,BF0001591,SR,Investigation and Cleanup,Investigation and Cleanup,,N,44.999,-93.2924,DW,Digitized - Web Map Google / Yahoo / Microsoft,0101000020E61000006D567DAEB65257C01D5A643BDF7F4640,POINT (476954.09451160056 4982880.71451801)
71938,71900,26699,Kentucky Fried Chicken Store,Y,1301 W Broadway Ave ,Minneapolis,MN,55411-2534,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/26699,Multiple Activities,"Hazardous Waste; Petroleum Remediation, Leak Site; Underground Tanks",Multiple IDs,LS0008403; MNR000012476; TS0019322,HW; SR; TL,Multiple Programs,Hazardous Waste; Investigation and Cleanup; Tanks,,N,44.9989919,-93.2973472,DM,Digitized - MPCA internal map,0101000020E6100000A9E38CBC075357C005BC71F7DE7F4640,POINT (476564.16979943454 4982881.234234576)
